Provinsi,Nama RS,Kelas,Ruangan,Tersedia,Update
ACEH,RS Umum Daerah Simeulue,Kelas I,Ruang Al-Karim,2,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas I,Ruang As-Salam,2,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas I,Ruang Al-Malik,1,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas I,Ruang Al-Gafur,1,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas I,Ruang Al-Muid,1,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas I,Ruang Al-Muqtadir,1,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas I,Ruang Ar-Rahim,2,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas I,Ruang Al-Aziz,1,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas I,Ruang Al-Syahid,1,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas I,Ruang Malikul Mulk,2,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas I,Ruang Al-Wahab,2,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas I,Ruang Ar-Rahman,0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas I,Ruang Al-Quddus,2,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas I,Ruang Al-Mukmin,2,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas I,Ruang Al-Wakil,2,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas I,Ruang Al-Khafid,2,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas II,Ruang Al-Tawab,2,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas II,Ruang Al-Muid,2,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas II,Ruang Al-Ahad,2,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas II,Ruang Al-Jabbar,1,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas II,Ruang Al-Qaiyun,2,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas II,Ruang Al-Jami,2,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas II,Ruang Al-Mutakabir,2,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas II,Ruang Al-Majiid,1,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas II,Ruang As-Syakur,2,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas II,Ruang Al-Wali,2,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas II,Ruang Al-Hamid,2,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas II,Ruang Al-Mujib,1,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas III,Ruang Al-Musi,2,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas III,Ruang Al-Hakim,2,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas III,Ruang Al-Muhaimin,3,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas III,Ruang An-Nur,3,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas III,Ruang Al-Hasiib,1,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas III,Ruang An-Nafii,2,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas III,Ruang Al-Qobid,3,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas III,Ruang Al-Qarim,2,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas III,Ruang Al-Zahir,4,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas III,Ruang Al-Wasii,4,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas III,Ruang Al-Razaq,2,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas III,Ruang Al-Mumit,2,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas III,Ruang As-Samat,2,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas III,Ruang Al-Akhir,3,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas III,Ruang Al-Haadi,3,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas III,Ruang Jiwa,3,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas III,Ruang Al-Qayyum,0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas III,Ruang An-Khabiir,2,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Kota Subulussalam,Kelas I,Ruang Lae Kombih (Al Jami ),0,diupdate 9 jam yang lalu
ACEH,RS Umum Daerah Kota Subulussalam,Kelas I,Ruang Lae Kombih (Al Kahfi ),2,diupdate 9 jam yang lalu
ACEH,RS Umum Daerah Kota Subulussalam,Kelas I,Ruang Lae Kombih ( Al Wasi ),0,diupdate 9 jam yang lalu
ACEH,RS Umum Daerah Kota Subulussalam,Kelas I,Ruang Lae Kombih (Al Rasyid ),2,diupdate 9 jam yang lalu
ACEH,RS Umum Daerah Kota Subulussalam,Kelas I,Ruang Lae Kombih (Al Latif ),0,diupdate 9 jam yang lalu
ACEH,RS Umum Daerah Kota Subulussalam,Kelas I,Ruang Lae Kombih ( Al Hayuu ),0,diupdate 9 jam yang lalu
ACEH,RS Umum Daerah Kota Subulussalam,Kelas I,Ruang Lae Kombih ( Al Jami ),2,diupdate 9 jam yang lalu
ACEH,RS Umum Daerah Kota Subulussalam,Kelas I,Ruang Lae Kombih (Al Haddi ),0,diupdate 9 jam yang lalu
ACEH,RS Umum Daerah Kota Subulussalam,Kelas I,Ruang Lae Kombih ( Al Hafiz ),2,diupdate 9 jam yang lalu
ACEH,RS Umum Daerah Kota Subulussalam,Kelas I,Ruang Lae Kombih (Al Awal ),2,diupdate 9 jam yang lalu
ACEH,RS Umum Daerah Kota Subulussalam,Kelas II,Ruang Lae Singgersing ( Al Wasi ),3,diupdate 9 jam yang lalu
ACEH,RS Umum Daerah Kota Subulussalam,Kelas II,Ruang Lae Singgersing ( Al Khafi ),1,diupdate 9 jam yang lalu
ACEH,RS Umum Daerah Kota Subulussalam,Kelas II,Ruang Lae Singgersing ( Al Hadi ),3,diupdate 9 jam yang lalu
ACEH,RS Umum Daerah Kota Subulussalam,Kelas II,Ruang Lae Singgersing ( AR Rasyid ),3,diupdate 9 jam yang lalu
ACEH,RS Umum Daerah Kota Subulussalam,Kelas II,Ruang Lae Singgersing ( Al Hayyu ),3,diupdate 9 jam yang lalu
ACEH,RS Umum Daerah Kota Subulussalam,Kelas II,Ruang Lae Singgersing ( Al Alim ),0,diupdate 9 jam yang lalu
ACEH,RS Umum Daerah Kota Subulussalam,Kelas II,Ruang Lae Singgersing ( Al Wasi ),0,diupdate 9 jam yang lalu
ACEH,RS Umum Daerah Kota Subulussalam,Kelas II,Ruang Lae Singgersing ( Al Jami ),3,diupdate 9 jam yang lalu
ACEH,RS Umum Daerah Kota Subulussalam,Kelas III,Ruang Lae Pemualen / Bedah ( Al Qaabidh ),0,diupdate 9 jam yang lalu
ACEH,RS Umum Daerah Kota Subulussalam,Kelas III,Ruang Lae Pemualen / Bedah ( Al Khaafidh ),0,diupdate 9 jam yang lalu
ACEH,RS Umum Daerah Kota Subulussalam,Kelas III,Ruang Lae Pemualen/PD (AL-Wahab),0,diupdate 9 jam yang lalu
ACEH,RS Umum Daerah Kota Subulussalam,Kelas III,Ruang Lae Pemualen /Bedah(AL-Fattah),4,diupdate 9 jam yang lalu
ACEH,RS Umum Daerah Kota Subulussalam,Kelas III,Ruang Lae Pemualen / PD (AL- Khaliq),0,diupdate 9 jam yang lalu
ACEH,RS Umum Daerah Kota Subulussalam,Kelas III,"Ruang Lae Oram/THT,MATA (Melati )",0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Kota Subulussalam,Kelas III,Ruang Lae Batu Batu/Kebidanan (AL Hakam),6,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Kota Subulussalam,Kelas III,Ruang Lae Batu Batu/Anak ( Al Halim ),2,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Kota Subulussalam,Kelas III,Ruang Lae Batu Batu/Kebidanan(AL Sami'i),6,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Kota Subulussalam,Kelas III,Ruang Lae Pemualen / Bedah ( AL Mudzil ),0,diupdate 9 jam yang lalu
ACEH,RS Umum Daerah Kota Subulussalam,Kelas III,Ruang Lae Batu Batu/Anak ( Al Azhiim ),4,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Kota Subulussalam,Kelas III,Ruang Lae Pemualen / Bedah ( Al Baasith ),4,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Kota Subulussalam,Kelas III,Ruang Lae Pemualen / Bedah ( AR raafi ),0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Kota Subulussalam,Kelas III,Ruang Lae Pemualen /Bedah(AL- Aliim),4,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Kota Subulussalam,Kelas III,"Ruang Lae Oram/THT,MATA (Mawar )",1,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Kota Subulussalam,Kelas III,Ruang Lae Pemualen  / Bedah ( AR razzaq),0,diupdate 9 jam yang lalu
ACEH,RS Umum Daerah Kota Subulussalam,Kelas III,Ruang Lae Batu Batu/Kebidanan (AL  Adil ),4,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Kota Subulussalam,Kelas III,"Ruang Lae Oram/THT,MATA (Anggrek)",0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Kota Subulussalam,Kelas III,Ruang Lae Batu Batu/Anak ( AL Lathif ),0,diupdate 8 jam yang lalu
