Province,Kode_RS,Hospital_Name,Class,Total_Beds,Available_Beds,Occupied_Beds,BOR_Percentage,Sent_Date
ACEH,1110103,RS Umum Avicenna,VVIP/ Super VIP,1,0,1,100.0,2026-05-10T14:23:31.000Z
ACEH,1110103,RS Umum Avicenna,VIP,1,1,0,0.0,2026-05-10T14:23:31.000Z
ACEH,1110103,RS Umum Avicenna,Kelas I,4,1,3,75.0,2026-05-10T14:23:31.000Z
ACEH,1110103,RS Umum Avicenna,Kelas II,5,2,3,60.0,2026-05-10T14:23:31.000Z
ACEH,1110103,RS Umum Avicenna,Kelas III,23,5,18,78.26,2026-05-10T14:23:31.000Z
ACEH,1110103,RS Umum Avicenna,Isolasi,6,6,0,0.0,2026-05-10T14:23:31.000Z
ACEH,1111005,RS Umum Prima Inti Medika,VIP,2,1,1,50.0,2026-05-10T14:23:31.000Z
ACEH,1111005,RS Umum Prima Inti Medika,Kelas I,10,1,9,90.0,2026-05-10T14:23:31.000Z
ACEH,1111005,RS Umum Prima Inti Medika,Kelas II,12,8,4,33.33,2026-05-10T14:23:31.000Z
ACEH,1111005,RS Umum Prima Inti Medika,Kelas III,28,13,15,53.57,2026-05-10T14:23:31.000Z
ACEH,1111005,RS Umum Prima Inti Medika,NICU Tanpa Ventilator,6,6,0,0.0,2026-05-10T14:23:31.000Z
ACEH,1111005,RS Umum Prima Inti Medika,Isolasi,7,4,3,42.86,2026-05-10T14:23:31.000Z
ACEH,1111005,RS Umum Prima Inti Medika,Perinatologi,1,1,0,0.0,2026-05-10T14:23:31.000Z
ACEH,1111005,RS Umum Prima Inti Medika,VK (TT Observasi di R Bersalin) Non Covid,1,1,0,0.0,2026-05-10T14:23:31.000Z
ACEH,1111005,RS Umum Prima Inti Medika,Intermediate Ward (IGD),10,8,2,20.0,2026-05-10T14:23:31.000Z
ACEH,1111005,RS Umum Prima Inti Medika,ICU Dengan Ventilator,4,4,0,0.0,2026-05-10T14:23:31.000Z
ACEH,1171121,RS Ibu dan Anak Pemerintah Aceh,VIP,2,1,1,50.0,2026-05-10T14:23:31.000Z
ACEH,1171121,RS Ibu dan Anak Pemerintah Aceh,Kelas I,8,5,3,37.5,2026-05-10T14:23:31.000Z
ACEH,1171121,RS Ibu dan Anak Pemerintah Aceh,Kelas II,25,14,11,44.0,2026-05-10T14:23:31.000Z
